totalId:ID,name,:LABEL
265016,49.73亿元,总授信额度
265017,20.46亿元,总授信额度
265018,53.44亿元,总授信额度
265019,2.85亿元,总授信额度
265020,44.14亿元,总授信额度
265021,185.10亿元,总授信额度
265022,1.00亿元,总授信额度
265023,17.00亿元,总授信额度
265024,12.27亿元,总授信额度
265025,3.00亿元,总授信额度
265026,25.70亿元,总授信额度
265027,14.84亿元,总授信额度
265028,5.60亿元,总授信额度
265029,3.88亿元,总授信额度
265030,7.40亿元,总授信额度
265031,5.00亿元,总授信额度
265032,1.50亿元,总授信额度
265033,6.00亿元,总授信额度
265034,4.00亿元,总授信额度
265035,0.50亿元,总授信额度
265036,2.00亿元,总授信额度
265037,3.00亿元,总授信额度
265038,3.00亿元,总授信额度
265039,3.00亿元,总授信额度
265040,1.65亿元,总授信额度
265041,25.80亿元,总授信额度
265042,7.50亿元,总授信额度
265043,3.90亿元,总授信额度
265044,0.50亿元,总授信额度
265045,1.40亿元,总授信额度
265046,0.50亿元,总授信额度
265047,0.30亿元,总授信额度
265048,1.00亿元,总授信额度
265049,1.00亿元,总授信额度
265050,2.00亿元,总授信额度
265051,1.20亿元,总授信额度
265052,1.00亿元,总授信额度
265053,20.00亿元,总授信额度
265054,3.00亿元,总授信额度
265055,1.00亿元,总授信额度
265056,1.50亿元,总授信额度
265057,1.20亿元,总授信额度
265058,1.20亿元,总授信额度
265059,40.70亿元,总授信额度
265060,21.16亿元,总授信额度
265061,57.50亿元,总授信额度
265062,17.00亿元,总授信额度
265063,7.95亿元,总授信额度
265064,39.53亿元,总授信额度
265065,11.00亿元,总授信额度
265066,14.70亿元,总授信额度
265067,7.00亿元,总授信额度
265068,9.10亿元,总授信额度
265069,2.00亿元,总授信额度
265070,8.75亿元,总授信额度
265071,10.00亿元,总授信额度
265072,12.80亿元,总授信额度
265073,6.00亿元,总授信额度
265074,5.80亿元,总授信额度
265075,5.60亿元,总授信额度
265076,10.00亿元,总授信额度
265077,1.30亿元,总授信额度
265078,2.60亿元,总授信额度
265079,1.00亿元,总授信额度
265080,1.20亿元,总授信额度
265081,0.04亿元,总授信额度
265082,252.04亿元,总授信额度
265083,20.50亿元,总授信额度
265084,18.00亿元,总授信额度
265085,42.59亿元,总授信额度
265086,1.00亿元,总授信额度
265087,34.58亿元,总授信额度
265088,3.20亿元,总授信额度
265089,4.42亿元,总授信额度
265090,5.10亿元,总授信额度
265091,2.81亿元,总授信额度
265092,2.00亿元,总授信额度
265093,5.28亿元,总授信额度
265094,4.43亿元,总授信额度
265095,2.50亿元,总授信额度
265096,4.50亿元,总授信额度
265097,12.86亿元,总授信额度
265098,2.00亿元,总授信额度
265099,0.32亿元,总授信额度
265100,0.04亿元,总授信额度
265101,2.30亿元,总授信额度
265102,2.47亿元,总授信额度
265103,1.20亿元,总授信额度
265104,0.60亿元,总授信额度
265105,0.06亿元,总授信额度
265106,0.10亿元,总授信额度
265107,0.25亿元,总授信额度
265108,0.07亿元,总授信额度
265109,0.24亿元,总授信额度
265110,56.75亿元,总授信额度
265111,2.00亿元,总授信额度
265112,1.00亿元,总授信额度
265113,3.00亿元,总授信额度
265114,14.01亿元,总授信额度
265115,90.91亿元,总授信额度
265116,56.74亿元,总授信额度
265117,249.32亿元,总授信额度
265118,377.25亿元,总授信额度
265119,462.49亿元,总授信额度
265120,360.21亿元,总授信额度
265121,350.00亿元,总授信额度
265122,338.29亿元,总授信额度
265123,257.01亿元,总授信额度
265124,220.00亿元,总授信额度
265125,220.00亿元,总授信额度
265126,200.00亿元,总授信额度
265127,198.00亿元,总授信额度
265128,137.52亿元,总授信额度
265129,137.00亿元,总授信额度
265130,114.66亿元,总授信额度
265131,110.00亿元,总授信额度
265132,102.33亿元,总授信额度
265133,90.00亿元,总授信额度
265134,76.75亿元,总授信额度
265135,67.80亿元,总授信额度
265136,60.00亿元,总授信额度
265137,35.20亿元,总授信额度
265138,30.50亿元,总授信额度
265139,26.08亿元,总授信额度
265140,17.00亿元,总授信额度
265141,15.50亿元,总授信额度
265142,11.27亿元,总授信额度
265143,1.80亿元,总授信额度
265144,3639.41亿元,总授信额度
265145,17.10亿元,总授信额度
265146,1.82亿元,总授信额度
265147,119.38亿元,总授信额度
265148,40.00亿元,总授信额度
265149,44.00亿元,总授信额度
265150,68.55亿元,总授信额度
265151,35.00亿元,总授信额度
265152,46.55亿元,总授信额度
265153,141.38亿元,总授信额度
265154,2.80亿元,总授信额度
265155,53.00亿元,总授信额度
265156,24.60亿元,总授信额度
265157,19.80亿元,总授信额度
265158,12.00亿元,总授信额度
265159,102.48亿元,总授信额度
265160,3.00亿元,总授信额度
265161,195.53亿元,总授信额度
265162,33.38亿元,总授信额度
265163,26.84亿元,总授信额度
265164,25.61亿元,总授信额度
265165,24.14亿元,总授信额度
265166,21.00亿元,总授信额度
265167,19.86亿元,总授信额度
265168,19.50亿元,总授信额度
265169,18.30亿元,总授信额度
265170,14.62亿元,总授信额度
265171,13.47亿元,总授信额度
265172,11.45亿元,总授信额度
265173,9.73亿元,总授信额度
265174,8.35亿元,总授信额度
265175,8.00亿元,总授信额度
265176,7.87亿元,总授信额度
265177,6.60亿元,总授信额度
265178,6.50亿元,总授信额度
265179,6.00亿元,总授信额度
265180,6.00亿元,总授信额度
265181,5.35亿元,总授信额度
265182,4.51亿元,总授信额度
265183,3.60亿元,总授信额度
265184,3.40亿元,总授信额度
265185,3.32亿元,总授信额度
265186,3.00亿元,总授信额度
265187,2.50亿元,总授信额度
265188,2.30亿元,总授信额度
265189,1.50亿元,总授信额度
265190,0.60亿元,总授信额度
265191,0.50亿元,总授信额度
265192,0.45亿元,总授信额度
265193,0.30亿元,总授信额度
265194,0.28亿元,总授信额度
265195,0.28亿元,总授信额度
265196,0.20亿元,总授信额度
265197,0.16亿元,总授信额度
265198,0.10亿元,总授信额度
265199,0.10亿元,总授信额度
265200,0.08亿元,总授信额度
265201,0.05亿元,总授信额度
