bankId:ID,name,:LABEL
246652,招行上清寺支行,合作银行
246653,农行渝中区支行,合作银行
246654,浦发大坪支行,合作银行
246655,交行九龙坡支行,合作银行
246656,三峡银行江北支行,合作银行
246657,光大银行大坪支行,合作银行
246658,广州越秀融资租赁有限公司,合作银行
246659,华融金融租赁股份有限公司,合作银行
246660,江南金融租赁有限公司,合作银行
246661,江苏金融租赁股份有限公司,合作银行
246662,江苏省国际租赁有限公司,合作银行
246663,江苏省再保融资租赁有限公司,合作银行
246664,苏州信托,合作银行
246665,新华信托股份有限公司,合作银行
246666,工商银行义乌分行,合作银行
246667,民生银行北京分行,合作银行
246668,郑州光大银行,合作银行
246669,交行山西经开支行,合作银行
246670,焦作银行,合作银行
246671,信达资产,合作银行
246672,宝钢财务,合作银行
246673,中国银行浙江省分行,合作银行
246674,中国农业银行杭州分行,合作银行
246675,浦发银行沧浪支行,合作银行
246676,紫金农商银行,合作银行
246677,深发(平安),合作银行
246678,凯基银行,合作银行
246679,恒生+首都+韩亚,合作银行
246680,苏宁银行,合作银行
246681,中国出口信用保险公司,合作银行
246682,哈尔滨银行开县支行,合作银行
246683,湖北银行总行营业部,合作银行
246684,广发银行武汉分行,合作银行
246685,平安银行江岸支行,合作银行
246686,汉口银行光谷分行,合作银行
246687,华夏雄楚支行,合作银行
246688,华夏经开,合作银行
246689,浦发银行江岸支行,合作银行
246690,交通银行武昌支行,合作银行
246691,光大银行徐东支行,合作银行
246692,招行光谷支行,合作银行
246693,工商银行水果湖支行,合作银行
246694,建设银行东湖支行,合作银行
246695,进出口省银行,合作银行
246696,兴业银行武汉分行,合作银行
246697,中信银行水果湖支行,合作银行
246698,中国银行武汉省直支行,合作银行
246699,恒丰银行武汉分行,合作银行
246700,渤海银行武汉分行,合作银行
246701,建银保险资管,合作银行
246702,汉口银行科技金融服务中心,合作银行
246703,湖北银行股份有限公司监利支行,合作银行
246704,武汉市农村商业银行武昌支行,合作银行
246705,中国银行江汉支行,合作银行
246706,招商银行光谷支行,合作银行
246707,武汉市农村商业银行团结支行,合作银行
246708,国泰君安证券洞庭街营业部,合作银行
246709,浙商银行武汉分行,合作银行
246710,汉口银行江汉支行,合作银行
246711,富邦华一银行武汉分行,合作银行
246712,中国进出口银行湖北省分行,合作银行
246713,华夏银行经济开发区支行,合作银行
246714,汉口银行科技服务中心,合作银行
246715,民生银行中南路支行,合作银行
246716,东亚银行武汉分行,合作银行
246717,华夏武汉经济技术开发区支行,合作银行
246718,渤海银行武汉分行业务一部,合作银行
246719,广东发展银行,合作银行
246720,华融湘江,合作银行
246721,中国民生银行股份有限公司广州分行,合作银行
246722,渤海银行北京分行,合作银行
246723,城市商业银行,合作银行
246724,天津银行东营分行,合作银行
246725,无锡广发,合作银行
246726,国家开发银行安徽分行,合作银行
246727,渤海银行股份有限公司烟台分行,合作银行
246728,华夏银行太原分行双塔西街支行,合作银行
246729,兴业银行椒江支行,合作银行
246730,平安银行重庆分行,合作银行
246731,顺德农商行,合作银行
246732,农业发展银行淮安市分行营业部,合作银行
246733,东方汇理银行,合作银行
246734,兆丰国际,合作银行
246735,交通银行上海市北工业区支行,合作银行
246736,江苏银行浦口支行,合作银行
246737,厦门银行漳州支行,合作银行
246738,KBC,合作银行
246739,农业银行济宁市中支行,合作银行
246740,招商银行济宁分行,合作银行
246741,华夏银行济宁分行,合作银行
246742,渤海银行济宁分行,合作银行
246743,中国银行济宁分行,合作银行
246744,民生银行济宁分行,合作银行
246745,交通银行济宁分行,合作银行
246746,中信银行济宁分行,合作银行
246747,恒丰银行济宁分行,合作银行
246748,平安银行济南分行,合作银行
246749,儒商银行,合作银行
246750,乌鲁木齐商行,合作银行
246751,哈密银行,合作银行
246752,新疆石河子农村合作银行,合作银行
246753,新疆建新成功村镇银行,合作银行
246754,西安商业银行,合作银行
246755,交通银行闸北支行,合作银行
246756,中国银行海南省分行,合作银行
246757,建行上海卢湾支行,合作银行
246758,中国银行石河子分行,合作银行
246759,国家开发银行乌鲁木齐分行,合作银行
246760,上海浦东发展银行乌鲁木齐分行,合作银行
246761,华夏银行乌鲁木齐分行,合作银行
246762,兴业银行乌鲁木齐分行,合作银行
246763,中国光大银行乌鲁木齐分行,合作银行
246764,工商银行石河子分行,合作银行
246765,民生银行乌鲁木齐分行,合作银行
246766,平安银行深圳分行,合作银行
246767,北京银行乌鲁木齐分行,合作银行
246768,建设银行石河子分行,合作银行
246769,招商银行石河子分行,合作银行
246770,中国交通银行,合作银行
246771,招行台州分行,合作银行
246772,农村合作银行,合作银行
246773,大悟工行,合作银行
246774,大悟中行,合作银行
246775,光大,合作银行
246776,省农发行,合作银行
246777,工行安吉支行,合作银行
246778,建行张家港港城支行,合作银行
246779,三井住友,合作银行
246780,农村信用联社,合作银行
246781,兴业银行梁溪支行,合作银行
246782,华夏银行股份有限公司烟台南大街支行,合作银行
246783,乌鲁木齐银行,合作银行
246784,和田县农村信用合作联社,合作银行
246785,库尔勒银行,合作银行
246786,新疆绿洲国民村镇银行,合作银行
246787,上海农村商业银行,合作银行
246788,华瑞银行,合作银行
246789,北汽集团财务公司,合作银行
246790,秦农银行,合作银行
246791,咸阳信合,合作银行
246792,哈尔滨银行重庆分行,合作银行
246793,兴业银行西安分行,合作银行
246794,淮安农商行,合作银行
246795,工商银行招远支行,合作银行
246796,渤海信托,合作银行
246797,深圳国开行,合作银行
246798,兵器装备集团财务有限公司,合作银行
246799,中国银行深圳福永支行,合作银行
246800,济南齐鲁银行,合作银行
246801,靖江市农村商业银行,合作银行
246802,申能财务公司,合作银行
246803,中国农业发展银行普定县支行,合作银行
246804,郯城县工商银行,合作银行
246805,郯城县农业银行,合作银行
246806,郯城县建设银行,合作银行
246807,郯城县临商行,合作银行
246808,郯城县农商行,合作银行
246809,青岛恒丰银行,合作银行
246810,阳泉光大银行,合作银行
246811,阳煤财务公司,合作银行
246812,招商银行台州分行,合作银行
246813,进出口银行福建省分行,合作银行
